
Robertson ODE test problem:
    initial conditions:  u0 = 1,  v0 = 0,  w0 = 0
        t           u           v           w
   --------------------------------------------------
   0.000e+00   1.00000e+00   0.00000e+00   0.00000e+00
   1.000e+09   2.08322e-06   8.35958e-12   9.99998e-01
   2.000e+09   1.04162e-06   4.19436e-12   9.99999e-01
   3.000e+09   6.94420e-07   2.78049e-12   9.99999e-01
   4.000e+09   5.20831e-07   2.08087e-12   9.99999e-01
   5.000e+09   4.16660e-07   1.62341e-12   1.00000e+00
   6.000e+09   3.47220e-07   1.39578e-12   1.00000e+00
   7.000e+09   2.97620e-07   1.18769e-12   1.00000e+00
   8.000e+09   2.60418e-07   1.04103e-12   1.00000e+00
   9.000e+09   2.31483e-07   9.24505e-13   1.00000e+00
   1.000e+10   2.08335e-07   8.29348e-13   1.00000e+00
   1.100e+10   1.89389e-07   7.37234e-13   1.00000e+00
   1.200e+10   1.73612e-07   7.21244e-13   1.00000e+00
   1.300e+10   1.60256e-07   6.63367e-13   1.00000e+00
   1.400e+10   1.48811e-07   5.94830e-13   1.00000e+00
   1.500e+10   1.38890e-07   5.58157e-13   1.00000e+00
   1.600e+10   1.30209e-07   5.36084e-13   1.00000e+00
   1.700e+10   1.22550e-07   4.64998e-13   1.00000e+00
   1.800e+10   1.15741e-07   4.68279e-13   1.00000e+00
   1.900e+10   1.09646e-07   4.59143e-13   1.00000e+00
   2.000e+10   1.04164e-07   4.30765e-13   1.00000e+00
   2.100e+10   9.92075e-08   3.96740e-13   1.00000e+00
   2.200e+10   9.46963e-08   3.73138e-13   1.00000e+00
   2.300e+10   9.05787e-08   3.60493e-13   1.00000e+00
   2.400e+10   8.68064e-08   3.47803e-13   1.00000e+00
   2.500e+10   8.33326e-08   3.30493e-13   1.00000e+00
   2.600e+10   8.01240e-08   3.17376e-13   1.00000e+00
   2.700e+10   7.71556e-08   3.07073e-13   1.00000e+00
   2.800e+10   7.44026e-08   2.97663e-13   1.00000e+00
   2.900e+10   7.18401e-08   2.87223e-13   1.00000e+00
   3.000e+10   6.94449e-08   2.74624e-13   1.00000e+00
   3.100e+10   6.72033e-08   2.61904e-13   1.00000e+00
   3.200e+10   6.51028e-08   2.50969e-13   1.00000e+00
   3.300e+10   6.31310e-08   2.43661e-13   1.00000e+00
   3.400e+10   6.12755e-08   2.41821e-13   1.00000e+00
   3.500e+10   5.95246e-08   2.43095e-13   1.00000e+00
   3.600e+10   5.78704e-08   2.37796e-13   1.00000e+00
   3.700e+10   5.63061e-08   2.28601e-13   1.00000e+00
   3.800e+10   5.48248e-08   2.19016e-13   1.00000e+00
   3.900e+10   5.34197e-08   2.12544e-13   1.00000e+00
   4.000e+10   5.20839e-08   2.10286e-13   1.00000e+00
   4.100e+10   5.08124e-08   2.06530e-13   1.00000e+00
   4.200e+10   4.96015e-08   2.01370e-13   1.00000e+00
   4.300e+10   4.84475e-08   1.95470e-13   1.00000e+00
   4.400e+10   4.73467e-08   1.89492e-13   1.00000e+00
   4.500e+10   4.62955e-08   1.84098e-13   1.00000e+00
   4.600e+10   4.52902e-08   1.79951e-13   1.00000e+00
   4.700e+10   4.43271e-08   1.77711e-13   1.00000e+00
   4.800e+10   4.34033e-08   1.75940e-13   1.00000e+00
   4.900e+10   4.25170e-08   1.73069e-13   1.00000e+00
   5.000e+10   4.16663e-08   1.69450e-13   1.00000e+00
   5.100e+10   4.08492e-08   1.65434e-13   1.00000e+00
   5.200e+10   4.00638e-08   1.61373e-13   1.00000e+00
   5.300e+10   3.93084e-08   1.57619e-13   1.00000e+00
   5.400e+10   3.85809e-08   1.54523e-13   1.00000e+00
   5.500e+10   3.78795e-08   1.52502e-13   1.00000e+00
   5.600e+10   3.72025e-08   1.52355e-13   1.00000e+00
   5.700e+10   3.65490e-08   1.53749e-13   1.00000e+00
   5.800e+10   3.59180e-08   1.56074e-13   1.00000e+00
   5.900e+10   3.53085e-08   1.58718e-13   1.00000e+00
   6.000e+10   3.47196e-08   1.61071e-13   1.00000e+00
   6.100e+10   3.41504e-08   1.62522e-13   1.00000e+00
   6.200e+10   3.35999e-08   1.62460e-13   1.00000e+00
   6.300e+10   3.30672e-08   1.60275e-13   1.00000e+00
   6.400e+10   3.25513e-08   1.55356e-13   1.00000e+00
   6.500e+10   3.20514e-08   1.47091e-13   1.00000e+00
   6.600e+10   3.15663e-08   1.34871e-13   1.00000e+00
   6.700e+10   3.10953e-08   1.19582e-13   1.00000e+00
   6.800e+10   3.06380e-08   1.16690e-13   1.00000e+00
   6.900e+10   3.01940e-08   1.20154e-13   1.00000e+00
   7.000e+10   2.97626e-08   1.17732e-13   1.00000e+00
   7.100e+10   2.93434e-08   1.13060e-13   1.00000e+00
   7.200e+10   2.89359e-08   1.11876e-13   1.00000e+00
   7.300e+10   2.85395e-08   1.16571e-13   1.00000e+00
   7.400e+10   2.81538e-08   1.18857e-13   1.00000e+00
   7.500e+10   2.77783e-08   1.17029e-13   1.00000e+00
   7.600e+10   2.74128e-08   1.12857e-13   1.00000e+00
   7.700e+10   2.70568e-08   1.08115e-13   1.00000e+00
   7.800e+10   2.67100e-08   1.04573e-13   1.00000e+00
   7.900e+10   2.63719e-08   1.04005e-13   1.00000e+00
   8.000e+10   2.60422e-08   1.07403e-13   1.00000e+00
   8.100e+10   2.57206e-08   1.11084e-13   1.00000e+00
   8.200e+10   2.54067e-08   1.14229e-13   1.00000e+00
   8.300e+10   2.51003e-08   1.16750e-13   1.00000e+00
   8.400e+10   2.48013e-08   1.18558e-13   1.00000e+00
   8.500e+10   2.45094e-08   1.19566e-13   1.00000e+00
   8.600e+10   2.42243e-08   1.19685e-13   1.00000e+00
   8.700e+10   2.39459e-08   1.18826e-13   1.00000e+00
   8.800e+10   2.36739e-08   1.16902e-13   1.00000e+00
   8.900e+10   2.34081e-08   1.13825e-13   1.00000e+00
   9.000e+10   2.31482e-08   1.09506e-13   1.00000e+00
   9.100e+10   2.28940e-08   1.03857e-13   1.00000e+00
   9.200e+10   2.26453e-08   9.67906e-14   1.00000e+00
   9.300e+10   2.24019e-08   8.82173e-14   1.00000e+00
   9.400e+10   2.21636e-08   7.91940e-14   1.00000e+00
   9.500e+10   2.19301e-08   7.21548e-14   1.00000e+00
   9.600e+10   2.17014e-08   6.70021e-14   1.00000e+00
   9.700e+10   2.14774e-08   6.35392e-14   1.00000e+00
   9.800e+10   2.12579e-08   6.15698e-14   1.00000e+00
   9.900e+10   2.10428e-08   6.08973e-14   1.00000e+00
   1.000e+11   2.08321e-08   6.13253e-14   1.00000e+00
   --------------------------------------------------

Final Solver Statistics:
   Internal solver steps = 920 (attempted = 1055)
   Total RHS evals:  Fe = 0,  Fi = 30525
   Total linear solver setups = 390
   Total RHS evals for setting up the linear system = 0
   Total number of Jacobian evaluations = 52
   Total number of Newton iterations = 25254
   Total number of nonlinear solver convergence failures = 2
   Total number of error test failures = 133
